"","(Intercept)","agegrp4","agegrp5","agegrp6","agegrp7","agegrp8","agegrp9","agegrp10","Hispanic1","Hispanic9","race2","race3","race4","race5","race9","bmi2","bmi3","bmi4","bmi9","agefirst1","agefirst2","agefirst9","brstproc1","brstproc9","nrelbc1","nrelbc2","nrelbc9","hrt1","hrt9","surgemeno1","surgemeno9","lastmamm1","lastmamm9","density2","density3","density4","density9",
"(Intercept)",0.00725290995824378,-0.00283118305998448,-0.00287652927576922,-0.00290911485745149,-0.0029465994544194,-0.00298896908488079,-0.00302099811050435,-0.00305001956276709,-0.000192066021160096,-0.000199419596118892,-0.000192202783429798,-0.000174853503400505,5.632443172841e-06,-0.000194240581004632,6.04322027637321e-05,-0.000622291980942857,-0.000750271101608657,-0.000954145622773785,-0.000521023411484192,-0.000407723895924889,-0.000373605139877505,-0.000257461904361157,-7.31346680280513e-05,-4.42054786687469e-07,-0.000146574205609978,-0.000176742485199175,4.79819534107332e-05,-0.000277308395855945,-9.38796906968667e-05,-0.00020266063668012,-0.000193686782831042,-9.49716175627529e-05,-0.00024798702568806,-0.00335675346207652,-0.00343111278025504,-0.00356694651049945,-0.00336347735650567,
"agegrp4",-0.00283118305998448,0.00377530681643638,0.00279469992220743,0.00279308922676116,0.00279086524164954,0.0027896832826384,0.00278825752672575,0.00278643329134446,1.91654304068695e-05,6.77350646134749e-06,-1.95812628903827e-05,3.32277782329371e-05,-1.0463341940288e-06,1.81690527720292e-05,-7.36612266701323e-06,-5.70168389995915e-06,-3.3930070967152e-06,1.20473142355554e-06,5.59532687863705e-07,2.02376467992604e-05,2.6703949909926e-05,1.83999880531341e-05,-1.97203967259987e-05,-2.47060383611568e-06,3.93766457270531e-07,8.88997122283e-06,-6.12328948884981e-06,-2.99607918631961e-05,-1.58565801606444e-05,7.22947095581484e-05,2.56056501914948e-05,2.04945532579636e-05,2.86529500712245e-05,3.71803343692964e-06,1.81336213653993e-05,6.9402037100736e-05,1.60504621783668e-05,
"agegrp5",-0.00287652927576922,0.00279469992220743,0.00337565558662305,0.00281855844152427,0.00282142223450517,0.00282383304192092,0.00282377858714178,0.00282215280584038,2.45598860401596e-05,1.18813022451287e-05,-1.94288255691155e-05,4.37270823067147e-05,-2.37506270020066e-05,3.11930286982985e-05,-1.0774382090516e-05,-1.44382405745435e-05,-5.85264073619389e-06,1.83089331359936e-05,-3.8351268865273e-06,7.23630303001564e-05,7.36593602137932e-05,1.56939048347504e-05,-3.5733109616166e-05,-7.42312050078535e-06,-3.78365047758603e-06,-7.00682388944091e-06,-3.6187497476672e-05,1.7382888978033e-05,-3.76918078852176e-05,8.59177779235686e-05,2.02141451903819e-06,2.94575199821773e-05,4.11690973939742e-05,6.43540203763305e-06,3.48250028601652e-05,0.000125366167499448,2.27362624503233e-05,
"agegrp6",-0.00290911485745149,0.00279308922676116,0.00281855844152427,0.00346440636606842,0.00283148910723028,0.00283590253208891,0.0028367212786595,0.00283515890201355,1.7157419061957e-05,9.87843928726731e-06,-3.42151609924774e-05,4.83904877994837e-05,-2.03347954167207e-05,5.07632346415946e-05,-1.05527885941421e-05,-1.81890363576192e-05,-4.08975826967909e-06,3.38087939870679e-05,-4.68308589947412e-06,9.57554568392926e-05,0.000100322377612837,1.95917128610785e-05,-4.2668948801078e-05,-9.23845355486706e-06,-5.41131555899534e-06,-2.22956301831609e-05,-3.79489597054257e-05,4.41133283090268e-05,-2.83446087159956e-05,6.26238736067495e-05,-6.50625784869894e-06,3.87715542606902e-05,4.3860129729727e-05,1.62237566844874e-05,6.02545003497277e-05,0.000166946136315111,3.96360169875458e-05,
"agegrp7",-0.0029465994544194,0.00279086524164954,0.00282142223450517,0.00283148910723028,0.0035282185179933,0.0028495837129158,0.0028530093727161,0.00285381802883514,2.61190010449933e-05,8.59305829562023e-06,-3.38589898586274e-05,5.95518662872038e-05,2.98302666612884e-06,6.38712322213664e-05,-5.37119763353651e-06,-1.81643338827292e-05,1.98792227935473e-06,6.22809336465863e-05,-4.15826677205069e-06,9.21598596232641e-05,0.000105187260772749,1.63631163240298e-05,-4.53050057129524e-05,-2.29962013228466e-05,-1.25730857261725e-05,-4.08935427284137e-05,-3.66603666368107e-05,8.6882050508659e-05,-8.07971614382574e-06,4.91113228218514e-05,-1.23422378764823e-05,4.20388782345161e-05,4.23619261396428e-05,2.67057021917676e-05,7.98649617153657e-05,0.000193440123990652,5.38076709580338e-05,
"agegrp8",-0.00298896908488079,0.0027896832826384,0.00282383304192092,0.00283590253208891,0.0028495837129158,0.00357104784858729,0.00286773142515104,0.00287170109268354,4.37332525209592e-05,8.03810693691943e-06,-2.12343482369201e-05,7.64597296626808e-05,2.32205348536302e-05,7.20544527926598e-05,-6.96721591409184e-06,-7.51620437353014e-06,2.00534201651192e-05,0.000100091607436446,-1.18902565653962e-06,8.02181207786096e-05,9.87871035178316e-05,1.67560217995223e-05,-4.25856495638017e-05,-2.95601857966491e-05,-1.81290518593133e-05,-6.06430795253484e-05,-3.34872805306908e-05,0.000124644372504062,9.65285673314463e-06,4.32229439777382e-05,-1.40088805149878e-05,5.12212242202237e-05,4.76114613624762e-05,3.44784515314066e-05,9.5944093673061e-05,0.000212349200503829,6.34052916189292e-05,
"agegrp9",-0.00302099811050435,0.00278825752672575,0.00282377858714178,0.0028367212786595,0.0028530093727161,0.00286773142515104,0.00380387090956498,0.0028853417161682,6.35268778340048e-05,7.45674562184328e-06,1.52094334422885e-05,9.49113269182145e-05,2.20596564299431e-05,8.62014385454547e-05,-8.38136736986849e-06,5.724602972545e-06,4.69483474009616e-05,0.000133012689034932,5.39885009165727e-07,4.82696445163094e-05,8.59234287979913e-05,1.89884534277692e-05,-3.92137925351383e-05,-3.0445406507779e-05,-2.50098152968583e-05,-7.87921259205328e-05,-2.94088355861386e-05,0.000154283571389145,2.22428378002467e-05,3.78241829506641e-05,-1.61884729758139e-05,5.70515179874913e-05,5.16972714666541e-05,4.04281518337749e-05,0.000104102943015254,0.000217561763312642,7.37939711623953e-05,
"agegrp10",-0.00305001956276709,0.00278643329134446,0.00282215280584038,0.00283515890201355,0.00285381802883514,0.00287170109268354,0.0028853417161682,0.00466860412524979,7.56167508057341e-05,2.41738875619858e-06,5.24502985510521e-05,0.0001038706007732,1.7715556158748e-05,9.31243360449051e-05,-6.83034797260755e-06,2.33757737753239e-05,7.74975539232192e-05,0.000169232351352034,6.79036779874357e-06,-5.53750315796281e-06,6.08680734799077e-05,1.78103467131962e-05,-2.98227000376834e-05,-2.77453337703546e-05,-2.76900737321805e-05,-0.000106496450045038,-2.69495366262978e-05,0.000184362139322454,3.4733332728707e-05,3.97128043855331e-05,-1.456665000849e-05,5.37043361650766e-05,4.9979408092215e-05,4.45354523846919e-05,0.000108270556640704,0.000211559337255749,8.19843168291118e-05,
"Hispanic1",-0.000192066021160096,1.91654304068695e-05,2.45598860401596e-05,1.7157419061957e-05,2.61190010449933e-05,4.37332525209592e-05,6.35268778340048e-05,7.56167508057341e-05,0.00265930488804723,0.000325037024152631,3.7658011292595e-05,5.79633589531643e-05,0.000152679285763806,-0.00064523551187743,-0.000250155097346524,-7.47041964974126e-05,-7.93169153599418e-05,-1.54940876020955e-05,0.000128593134070503,7.57981151528335e-06,8.229524104938e-06,-4.34563304137208e-05,3.72393994472933e-05,-3.43415234588134e-05,3.05963631152007e-05,6.74158212245955e-05,5.78325917090485e-05,3.16418552593808e-05,6.55243132718922e-05,-1.75377129194537e-05,-0.000209926638452058,-3.55214060357283e-05,1.36213789697281e-05,1.40178233491196e-05,2.00506617452259e-05,8.05182539553393e-06,-3.91167272533044e-05,
"Hispanic9",-0.000199419596118892,6.77350646134749e-06,1.18813022451287e-05,9.87843928726731e-06,8.59305829562023e-06,8.03810693691943e-06,7.45674562184328e-06,2.41738875619858e-06,0.000325037024152631,0.00137959579911964,-0.00011160789435917,1.21401479712948e-05,-0.000376025087375535,-9.81688204020843e-05,-0.00103383131440566,-1.73744882849959e-05,-2.98168625570096e-05,-2.63023609930764e-05,3.82984420904935e-05,3.07721223632483e-05,5.63946439675924e-05,8.37586188791563e-05,-1.21264169323167e-05,-0.00017318135020146,-4.65412045856161e-06,2.12482399518702e-05,4.48759857366871e-05,4.09187679160722e-06,-5.16208789395446e-05,-6.46202019477162e-06,-4.46914088946122e-05,-1.73095831577645e-05,3.2850647169064e-05,2.74672336898081e-06,3.21512723047395e-05,4.68898227030704e-05,6.40531429013244e-05,
